depth,expected_energy,model_version,parameter_index,restart,round,seed,stage,step,value
3,-0.21159086941894273,base,2,,3,7,coordinate_descent,0.075,-0.16158630924109404
3,-0.21159086941894273,base,2,,3,7,coordinate_descent,0.075,-0.20129040963265582
3,-0.21159086941894273,base,3,,3,7,coordinate_descent,0.075,-0.20271361465891113
3,-0.21159086941894273,base,3,,3,7,coordinate_descent,0.075,-0.20129040963265582
3,-0.21159086941894273,base,4,,3,7,coordinate_descent,0.075,-0.16073847665944407
3,-0.21159086941894273,base,4,,3,7,coordinate_descent,0.075,-0.20165626034972584
3,-0.21159086941894273,base,5,,3,7,coordinate_descent,0.075,-0.16253995476270927
3,-0.21159086941894273,base,5,,3,7,coordinate_descent,0.075,-0.20067596136800459
3,-0.21159086941894273,base,0,,4,7,coordinate_descent,0.0375,-0.203044489451618
3,-0.21159086941894273,base,0,,4,7,coordinate_descent,0.0375,-0.20271361465891113
3,-0.21159086941894273,base,1,,4,7,coordinate_descent,0.0375,-0.20326952393141529
3,-0.21159086941894273,base,1,,4,7,coordinate_descent,0.0375,-0.203044489451618
3,-0.21159086941894273,base,2,,4,7,coordinate_descent,0.0375,-0.20107987850997164
3,-0.21159086941894273,base,2,,4,7,coordinate_descent,0.0375,-0.2042300615524693
3,-0.21159086941894273,base,3,,4,7,coordinate_descent,0.0375,-0.18586945257718193
3,-0.21159086941894273,base,3,,4,7,coordinate_descent,0.0375,-0.21159086941894273
3,-0.21159086941894273,base,4,,4,7,coordinate_descent,0.0375,-0.20418361011059016
3,-0.21159086941894273,base,4,,4,7,coordinate_descent,0.0375,-0.20763895948513086
3,-0.21159086941894273,base,5,,4,7,coordinate_descent,0.0375,-0.2046256919010554
3,-0.21159086941894273,base,5,,4,7,coordinate_descent,0.0375,-0.20723342348412238
3,-0.20546049011243114,base,,0,,11,restart,,-0.20546049011243114
3,-0.20546049011243114,base,,1,,11,restart,,0.7720755821189298
3,-0.20546049011243114,base,,2,,11,restart,,0.8095994684803482
3,-0.20546049011243114,base,,3,,11,restart,,0.24948805082243178
3,-0.20546049011243114,base,,4,,11,restart,,-0.11699081770951905
3,-0.20546049011243114,base,,5,,11,restart,,-0.1723192028263989
3,-0.20546049011243114,base,,6,,11,restart,,0.5080208680595615
3,-0.20546049011243114,base,,7,,11,restart,,-0.10130040914535385
3,-0.20546049011243114,base,,8,,11,restart,,1.1612806047095332
3,-0.20546049011243114,base,,9,,11,restart,,0.3652673957997593
3,-0.20546049011243114,base,,10,,11,restart,,-0.15367541317977873
3,-0.20546049011243114,base,,11,,11,restart,,1.2374168494091047
3,-0.20546049011243114,base,0,,0,11,coordinate_descent,0.6,-0.1881490000916315
3,-0.20546049011243114,base,0,,0,11,coordinate_descent,0.6,-0.20166761900223124
3,-0.20546049011243114,base,1,,0,11,coordinate_descent,0.6,-0.19390820343868986
3,-0.20546049011243114,base,1,,0,11,coordinate_descent,0.6,-0.2052534775299445
3,-0.20546049011243114,base,2,,0,11,coordinate_descent,0.6,-0.20528901047774925
3,-0.20546049011243114,base,2,,0,11,coordinate_descent,0.6,-0.2044191611719395
3,-0.20546049011243114,base,3,,0,11,coordinate_descent,0.6,0.7620442501310578
3,-0.20546049011243114,base,3,,0,11,coordinate_descent,0.6,0.6170694785841029
3,-0.20546049011243114,base,4,,0,11,coordinate_descent,0.6,0.7638516505653479
3,-0.20546049011243114,base,4,,0,11,coordinate_descent,0.6,0.6196135207930882
3,-0.20546049011243114,base,5,,0,11,coordinate_descent,0.6,1.051995761516411
3,-0.20546049011243114,base,5,,0,11,coordinate_descent,0.6,0.847395466871524
3,-0.24156445159929255,base,,0,,19,restart,,1.009913348735589
3,-0.24156445159929255,base,,1,,19,restart,,0.8368787923551628
3,-0.24156445159929255,base,,2,,19,restart,,0.13718603141012303
3,-0.24156445159929255,base,,3,,19,restart,,1.0271089883131812
3,-0.24156445159929255,base,,4,,19,restart,,0.02883834034698972
3,-0.24156445159929255,base,,5,,19,restart,,1.4110760231205872
3,-0.24156445159929255,base,,6,,19,restart,,0.27096299214372754
3,-0.24156445159929255,base,,7,,19,restart,,-0.027900925903807623
3,-0.24156445159929255,base,,8,,19,restart,,0.6383616323241484
3,-0.24156445159929255,base,,9,,19,restart,,-0.21624817356996606
3,-0.24156445159929255,base,,10,,19,restart,,0.6176936593097264
3,-0.24156445159929255,base,,11,,19,restart,,-0.1223204534270845
3,-0.24156445159929255,base,0,,0,19,coordinate_descent,0.6,-0.13814568296149876
3,-0.24156445159929255,base,0,,0,19,coordinate_descent,0.6,-0.20013587360010987
