B,bitstring,capital_avg,cvar95,eta,exp_return,feasible,gamma,lambda,liquidity_avg,model_version,objective_scaled,objective_unscaled,q,selected_count,source,var95,variance,volatility,worst_scenario_return
4,00101101,0.23,0.008909022263888771,0.25,0.00020972243073352526,True,0.25,8.0,3.4208333333333334,liquidity,-2.2838958151976128,-127.89820338451511,0.5,4,exact_enumeration,0.006971508445153889,1.962027572400336e-05,0.004429478041937149,-0.015200584531653398
4,00101110,0.2425,0.009246077003689393,0.25,0.00024162873575997868,True,0.25,8.0,3.5458333333333334,liquidity,-2.2841288847116354,-127.91125528115104,0.5,4,exact_enumeration,0.007406267756717957,2.1306280576050297e-05,0.0046158726776255755,-0.014252241018533052
4,00101111,0.2925,0.010845739707640115,0.25,0.0002820753110548352,False,0.25,8.0,4.045833333333333,liquidity,-2.1401563733886753,-119.84879226841934,0.5,5,exact_enumeration,0.008242423142072988,2.8224894512723112e-05,0.005312710655844445,-0.01705651101196567
4,00110000,0.022500000000000006,0.0035120420148482554,0.25,0.0001137680260896557,False,0.25,8.0,1.5458333333333334,liquidity,-1.7130703839624353,-95.93196980443679,0.5,2,exact_enumeration,0.002838976500848303,3.2049563816396626e-06,0.0017902391967666396,-0.004900400009333455
4,00110001,0.07250000000000001,0.005441716352079823,0.25,0.00015421460138451221,False,0.25,8.0,2.0458333333333334,liquidity,-2.1405263001112305,-119.86950817099421,0.5,3,exact_enumeration,0.0042727941410988105,7.364992102099703e-06,0.0027138518939138338,-0.010483213841850558
4,00110010,0.085,0.005642129869194379,0.25,0.0001861209064109656,False,0.25,8.0,2.1708333333333334,liquidity,-2.1407593792438178,-119.8825606062699,0.5,3,exact_enumeration,0.004490531530065471,7.97371743593315e-06,0.0028237771576264917,-0.009942534431520902
4,00110011,0.135,0.007623563765491845,0.25,0.00022656748170582215,True,0.25,8.0,2.6708333333333334,liquidity,-2.282501080358011,-127.82009821045422,0.5,4,exact_enumeration,0.00564354500412466,1.3658499394698145e-05,0.0036957407098845755,-0.01558901589789538
4,00110100,0.11000000000000001,0.006652241141425167,0.25,0.00022657405299208417,False,0.25,8.0,2.5458333333333334,liquidity,-2.1414576199457036,-119.92166209711155,0.5,3,exact_enumeration,0.005027261069232442,1.0898327324967027e-05,0.0033012614747952073,-0.011849575969975684
4,00110101,0.16000000000000003,0.00796014716273814,0.25,0.00026702062828694073,True,0.25,8.0,3.0458333333333334,liquidity,-2.283199326835741,-127.85920002474317,0.5,4,exact_enumeration,0.006338616687679223,1.5936214629485376e-05,0.003992018866373927,-0.013218136373389474
4,00110110,0.17250000000000001,0.008510119204363373,0.25,0.0002989269333133941,True,0.25,8.0,3.1708333333333334,liquidity,-2.2834323954539135,-127.87225187121152,0.5,4,exact_enumeration,0.0066194482688113525,1.7722554701210472e-05,0.004209816468827408,-0.016065885079289972
4,00110111,0.22250000000000003,0.009974611357124972,0.25,0.00033937350860825064,False,0.25,8.0,3.6708333333333334,liquidity,-2.1394598873093487,-119.80978903647008,0.5,5,exact_enumeration,0.007973242018732842,2.4285188244033776e-05,0.004928000430604058,-0.01645059007287671
4,00111000,0.11,0.006451768256013503,0.25,0.0001932237063983412,False,0.25,8.0,2.5708333333333333,liquidity,-2.141503538633131,-119.92423354436613,0.5,3,exact_enumeration,0.005062061066596184,9.636458294101749e-06,0.0031042645335250907,-0.010544906893612418
4,00111001,0.16,0.00803300839045666,0.25,0.0002336702816931977,True,0.25,8.0,3.0708333333333333,liquidity,-2.28324524455107,-127.86177141756026,0.5,4,exact_enumeration,0.006174938217268389,1.4783220597446127e-05,0.003844895394863965,-0.015356599252252709
4,00111010,0.17250000000000001,0.007941619658699219,0.25,0.0002655765867196511,True,0.25,8.0,3.1958333333333333,liquidity,-2.283478323110411,-127.87482382073419,0.5,4,exact_enumeration,0.006387274550771926,1.5456149475464337e-05,0.003931430970456474,-0.014362743643334046
4,00111011,0.2225,0.009704939257224732,0.25,0.0003060231620145076,False,0.25,8.0,3.6958333333333333,liquidity,-2.139505813993748,-119.81236093155525,0.5,5,exact_enumeration,0.007292827139261339,2.2127658017113674e-05,0.00470400446610265,-0.02046240130829753
4,00111100,0.1975,0.00858153401611913,0.25,0.00030602973330076964,True,0.25,8.0,3.5708333333333333,liquidity,-2.28417655895319,-127.91392503946572,0.5,4,exact_enumeration,0.006772528527938141,1.8924979567678542e-05,0.004350284998443038,-0.013090469669448124
4,00111101,0.24750000000000003,0.009994767065450851,0.25,0.0003464763085956262,False,0.25,8.0,4.070833333333333,liquidity,-2.140204055612371,-119.8514624737341,0.5,5,exact_enumeration,0.008028096060622374,2.4949593455081228e-05,0.004994956802123641,-0.016218173427234035
4,00111110,0.26,0.01024534695264426,0.25,0.0003783826136220796,False,0.25,8.0,4.195833333333333,liquidity,-2.140437123657297,-119.86451428810065,0.5,5,exact_enumeration,0.008292302699215836,2.6800137070991084e-05,0.005176884880986932,-0.017860221038153018
4,00111111,0.31000000000000005,0.011812143233618592,0.25,0.00041882918891693614,False,0.25,8.0,4.695833333333333,liquidity,-1.7107504052818756,-95.80205095999588,0.5,6,exact_enumeration,0.009385191977957504,3.4349497196698735e-05,0.005860844409869515,-0.021323975483278856
4,01000000,0.0025,0.0009416130075492924,0.25,1.664330537616968e-05,False,0.25,8.0,1.1,liquidity,-1.0,-56.00001652152805,0.5,1,exact_enumeration,0.0007760442825877505,2.4355464129118254e-07,0.000493512554339991,-0.0015607624314160607
4,01000001,0.052500000000000005,0.00392712512239859,0.25,5.7089880671026205e-05,False,0.25,8.0,1.6,liquidity,-1.713170123315496,-95.93755520985603,0.5,2,exact_enumeration,0.003093191384930421,3.760049276323672e-06,0.0019390846490866952,-0.00684797127340596
4,01000010,0.065,0.004077948360433601,0.25,8.89961856974796e-05,False,0.25,8.0,1.725,liquidity,-1.7134032052144943,-95.95060780005079,0.5,2,exact_enumeration,0.003198957232138303,4.0589364694861735e-06,0.0020146802400098566,-0.006897016764607062
4,01000011,0.115,0.006205074756929637,0.25,0.00012944276099233613,False,0.25,8.0,2.225,liquidity,-2.1408591134953885,-119.88814572600563,0.5,3,exact_enumeration,0.004734844649443467,9.100177342823621e-06,0.0030166500199432515,-0.011953773329450783
4,01000100,0.09000000000000001,0.005173232476575669,0.25,0.00012944933227859812,False,0.25,8.0,2.1,liquidity,-1.7141014487822348,-95.9897094513803,0.5,2,exact_enumeration,0.004029913813960228,6.6625705930076876e-06,0.002581195574342961,-0.00937133927082477
4,01000101,0.14,0.0065600829938540686,0.25,0.00016989590757345466,False,0.25,8.0,2.6,liquidity,-2.141557362838973,-119.92724770078249,0.5,3,exact_enumeration,0.005190406537991027,1.1056916812098489e-05,0.0033251942517841704,-0.009108683895742434
4,01000110,0.15250000000000002,0.007201314708265046,0.25,0.00020180221259990806,False,0.25,8.0,2.725,liquidity,-2.141790434223556,-119.9402997021699,0.5,3,exact_enumeration,0.0056367586770049655,1.2533418743152637e-05,0.003540256875306174,-0.012082406019935741
4,01000111,0.2025,0.008764494887752494,0.25,0.0002422487878947646,True,0.25,8.0,3.225,liquidity,-2.2835321332456924,-127.87783718919896,0.5,4,exact_enumeration,0.006947732916059131,1.8452511200548396e-05,0.0042956386254605254,-0.01281534750443211
4,01001000,0.09,0.004896589320912465,0.25,9.609898568485516e-05,False,0.25,8.0,2.125,liquidity,-1.7141473660338147,-95.99228081822741,0.5,2,exact_enumeration,0.0038348343775272383,5.561516517589267e-06,0.002358286775943347,-0.008849498124558118
4,01001001,0.14,0.0066940931879866435,0.25,0.0001365455609797117,False,0.25,8.0,2.625,liquidity,-2.1416032791184545,-119.9298190131921,0.5,3,exact_enumeration,0.005164129101387534,1.0064737735506094e-05,0.0031724970820327155,-0.012734914470532018
4,01001010,0.1525,0.0065227406812812866,0.25,0.0001684518660061651,False,0.25,8.0,2.75,liquidity,-2.141836360444207,-119.9428715712851,0.5,3,exact_enumeration,0.005125957817826823,1.0427828472853361e-05,0.003229214838448096,-0.01072750107488945
4,01001011,0.2025,0.008351025695058217,0.25,0.0002088984413010216,True,0.25,8.0,3.25,liquidity,-2.283578058494245,-127.88040900387666,0.5,4,exact_enumeration,0.006269077783814317,1.6455795929075148e-05,0.004056574408176823,-0.016827158739852934
